BEDS,BATHS,LOT_SIZE,LAST_SALE_PRICE,SQFT
4,2.75,5723,986000,2980
4,2,7440,569000,2050
3,2.5,1274,620000,1346
4,1.75,6050,730000,2030
4,2.5,6703,530000,2220
4,3,4800,1480000,2950
3,1.75,10176,498750,2280
3,1.75,5500,908500,2220
3,1.75,5712,567000,1520
4,1.75,6059,555000,2480
3,1.5,9114,294000,1700
4,1.75,4340,856000,1960
4,1.75,3600,920500,1950
4,1.5,6130,400000,1880
3,1.75,6000,825000,2000
3,2.5,5009,590550,1810
3,2.5,1113,599950,1510
4,3.25,5292,1295000,1870
4,1.5,5040,601000,1840
4,2.75,4239,1200000,2130
5,2.75,10880,535000,2770
3,1.5,11204,492000,1590
5,2.75,7680,1050000,3220
3,2.5,1270,594950,1346
3,1.75,11250,1110000,2080
4,2,6861,850000,2770
4,3.5,3949,1050000,3470
2,1,8108,321150,860
4,4,10700,695000,4230
3,2.75,13527,626000,2460
3,1.75,7200,442500,1250
2,1,8126,415000,1290
3,3.5,9878,2300000,3380
3,2,3210,856000,2420
3,1,7380,345000,1240
3,1.75,4800,740000,2140
3,1.75,4000,520000,1720
4,2.5,5000,875000,2710
6,3.75,7200,371350,2500
3,2,5630,630000,1820
3,2.25,2895,659000,1640
4,2,4200,675000,2580
5,2.5,9661,725000,3600
3,3.25,1989,824950,1844
2,2.25,5090,575000,1630
3,2.25,6183,660000,2340
3,2.5,5923,1314950,2720
5,4,5350,2160000,5440
2,1,4800,536000,2540
4,1,5000,550000,2600
3,1.75,3840,720000,1960
4,2.25,17950,580000,4250
3,2.5,1250,526000,1250
4,2.25,4815,858000,2400
3,1.5,7436,410000,1430
3,1.75,6891,547000,1560
5,3,8801,171000,5520
3,3.5,7215,980000,3400
3,2.25,5500,685000,2150
4,3,7685,496000,2530
4,2.5,18575,689000,1960
3,1,6400,608000,1240
3,2,2625,416500,1450
4,2.75,6549,589950,2990
3,1.75,4815,700000,1940
4,2.5,7896,710000,2580
4,2.5,7680,840000,2990
3,2,7234,189000,1870
5,2.5,9600,440000,1840
3,3,4300,660000,2070
1,1,3400,405000,710
4,3.75,6253,1122500,2930
3,1,7800,520000,1200
3,1.5,16443,400000,2500
4,3.5,5035,985000,1660
4,2.75,4080,745000,2620
6,1.75,3840,550000,2150
4,2.5,5100,895000,2660
3,1,5413,445000,1130
4,3,4000,1175000,3050
5,3.25,5922,1775000,3390
4,1.75,13206,379950,1500
2,1.5,6009,424000,1240
4,2,6477,531000,2460
3,2.5,3000,910000,2780
3,2.5,6800,620000,830
4,2.75,8061,855800,3190
2,2,3600,950000,2080
2,1,7864,482500,1210
3,1,7383,520000,1840
4,3.25,15313,1032500,4130
3,2,4990,477000,1250
3,2,2400,414950,1280
2,1,7400,299950,980
3,1.5,4860,820000,2260
2,2.5,2772,1092000,2620
2,1.75,3750,525000,1600
3,1.75,8010,670000,2160
4,3,4200,1180000,2620
4,4.5,2084,751000,3010
3,1,7853,296950,1040
4,2.5,3118,775000,2720
3,1,7554,363000,1060
2,1,5763,294000,820
5,3.5,4800,250000,2660
4,2.5,8670,2550000,5010
2,1.75,5000,120000,1240
2,1,7700,233000,580
2,1.5,6269,416000,1800
3,3.25,1640,699000,1689
4,2.25,6000,505000,2060
4,2,3800,1015000,2990
4,2,5200,663000,2320
2,1,5535,625000,1860
4,2.5,4952,1005000,2680
3,1.75,4800,617000,1470
4,1.75,6000,745000,3260
4,2.25,7512,800000,2640
3,1,3960,619000,1660
3,1.75,12983,430000,2300
2,1.5,4034,575000,1680
2,1,2160,625000,1350
3,2,4000,710000,2310
4,3,15120,750000,3610
2,1.75,7807,477250,1550
3,2.25,9304,429880,2300
4,4.25,18590,3185000,4400
4,2.25,4291,1025000,2880
3,2.75,6960,360000,2860
4,3,3397,453000,2420
3,1.75,5280,890000,1810
4,3,14539,1600000,4050
3,1.75,17986,619000,1430
4,3.5,6382,1120000,2960
3,1.75,8073,507500,1220
4,3.25,6161,1095000,3010
3,2,2720,585000,2100
3,1.75,7326,430000,1300
3,1.5,6645,378500,1030
4,1,7200,400000,1020
3,2.25,984,550000,1300
3,1.75,5621,125000,1270
2,1.75,6210,452500,1300
2,1,4000,475600,1640
4,2.5,4169,720000,3440
3,2,2565,577000,1760
2,1.5,10653,412500,1650
3,2.5,5035,849500,2446
3,2,6151,875000,2290
4,2,10001,555000,2500
6,6,13020,2850000,6310
4,2.75,6000,910000,2430
3,1.75,6350,525000,1930
2,1,9000,371500,1000
3,1.75,7609,895000,3480
6,2.25,10250,755000,2580
4,2.25,8015,450000,2480
5,3,6720,1130000,3710
3,1,3215,688100,2290
4,3.5,4427,940000,2820
5,1.75,3000,645500,1320
4,2.75,7000,1200000,4590
4,1,3800,610000,2360
4,3.5,3520,1139000,1500
4,2.75,4600,1268000,3110
3,1.75,5000,568000,1480
3,2,8704,400000,2400
2,1,6500,420000,1660
4,2.5,3600,1359000,3970
4,3.5,9637,950000,3280
3,2,7250,450000,2720
3,2,3600,695000,1880
3,3.25,4350,2125000,4535
5,3.5,4400,1200000,2650
3,1.75,4484,1030000,2210
3,2,5460,677500,2380
5,2,4800,776000,2690
5,2.5,4600,1500000,2990
3,1.75,11700,460000,2820
3,1,8410,462000,1920
3,2.75,7200,685000,2580
2,1.5,2400,485000,1850
5,2.5,3840,1015000,2610
3,1.75,11407,525000,2270
3,1.5,5514,539700,1220
5,2.75,5100,950000,2570
4,2,7800,475000,2160
3,2.75,5405,855000,3030
3,1.5,7617,372060,1500
4,1.75,4175,475999,2350
3,2.75,13000,405000,1300
4,1.75,8156,600000,2520
4,2.25,9390,450000,1940
4,3.25,7512,675000,2610
4,1.75,31360,530000,2740
2,1.75,12062,1030000,2400
4,2.25,5745,750000,2790
3,2.5,1225,638950,1475
5,3.25,7650,1000000,3270
5,2,4000,740000,2540
4,3.25,4445,1149950,3540
4,1.75,10774,336000,2000
2,1,9000,435000,720
4,2.5,5335,1140000,3580
3,2.75,9000,363000,2110
5,3.25,8910,865123,3570
2,1,1670,490000,1470
4,3.75,10629,1420000,3520
5,2,4000,675000,3070
2,1,5000,597500,1560
4,2.5,5047,515000,2090
4,3.25,4000,1205000,4040
4,2,6052,550000,1630
2,1.75,3708,395000,1760
4,1.75,7311,559000,1910
4,1.75,4150,727000,2790
2,2.25,1440,689950,1715
4,3.5,9200,2500000,4130
3,2.25,1626,400000,1520
3,1.5,3500,695000,2050
3,1.5,2161,675000,2390
4,3.5,54123,905000,2240
2,1,8000,405000,1820
3,1.5,6960,375012,1730
2,2.5,8250,587500,1990
3,1,11449,450000,1530
2,1,9120,174800,720
4,2.75,7245,540000,2390
2,1.75,4000,750000,1480
3,1,3840,545000,1940
3,1,7200,426000,920
2,1,4080,190000,1260
3,2.5,5356,510000,2230
4,2.5,5113,825000,2530
4,2.5,7410,400000,1620
2,1.5,5927,423000,1440
3,1.5,8100,470000,1320
1,1.75,3759,477000,1760
4,3.75,5086,985000,2769
4,2.75,2760,805000,2470
3,1.75,4843,475000,2420
4,2.5,4000,640000,2860
4,2,8433,350000,1540
3,2.5,3000,480000,2280
3,2.5,3495,1539000,3370
3,1.75,6110,622000,2260
3,2.5,3300,920000,2050
3,2.75,653,629950,2035
3,1.5,5000,850000,2840
4,1.75,5000,732000,2520
5,2.75,5000,770000,3350
4,1,3500,575000,1980
3,1.75,7609,895000,3480
2,1,6130,580000,936
3,1.75,4000,600000,1880
2,1,7848,410000,880
3,1,5000,516000,2530
4,1.75,6750,706600,2500
4,2.75,8023,633000,2550
4,2,7200,1075000,2430
4,1.75,7500,1225000,2960
4,2.25,7943,680000,2820
4,1.5,3780,560000,2800
4,2.25,5000,1011516,3720
4,3.25,7208,1475000,4360
5,5.25,7803,1300000,3200
2,1.5,7042,429000,3080
2,1,1465,562500,1410
4,2.5,8250,525000,2720
3,2.25,5393,750000,1700
5,2.75,4895,950000,2940
4,2.5,4080,1455000,2680
4,3.5,6000,1445000,4400
4,3,7500,2150000,3910
3,2.5,6800,620000,830
2,0.75,7500,357000,850
4,1.75,7650,485000,2040
2,1,5700,350000,700
3,3,5032,727500,2680
3,1.75,6942,775000,3330
3,1.5,3844,442000,1240
4,2,4000,625000,2370
4,2.5,9254,445000,2290
5,6,14160,3262500,5000
3,1,5100,425000,2240
3,2.75,2520,819000,3040
4,2,4080,665000,1520
4,2.25,12023,799000,3070
3,1.5,7200,400000,1540
5,1.75,6000,141000,3570
4,2.75,9360,799950,3000
2,1.75,2780,570888,1380
6,2.75,4800,725000,4030
5,3,4320,925000,2670
4,1,10650,310000,1670
3,2,6359,500000,1357
4,3,6179,1475000,3770
2,2.25,7827,325000,1170
4,3.5,5190,1295000,2820
3,1,4000,510000,2070
4,2.25,30000,530000,2700
2,1,4980,391000,1100
3,1.75,3060,426500,1610
4,1.75,5040,380000,2000
5,2.75,3108,1060000,3030
3,1.75,14130,380000,2340
3,1.75,3080,750000,1680
6,2,5223,660000,2180
4,3,8502,525000,2880
3,3,8480,745000,2670
5,3,4408,1735000,3570
4,3.25,6262,1385000,2150
5,1.75,8430,950000,3200
5,3.5,8580,1790000,4330
4,3.25,7416,1800000,4700
4,4,21008,3350000,5970
2,0.75,3431,650000,1290
3,1,3999,325000,1080
3,3,3458,1100000,2760
4,3.25,6262,1385000,2150
2,1,7744,438805,1210
2,1,4000,213000,1020
2,1,4910,541000,940
2,2.5,3456,710000,1990
4,2.5,3000,600000,1850
2,2,4000,595000,1630
3,1.75,4000,550000,1280
3,2.25,31878,469950,1910
2,2.25,4500,640000,2420
4,2.25,9085,427000,2720
3,2.75,7440,505000,1690
2,0.75,4800,897250,1540
3,1.75,4080,595000,1660
3,2.75,2336,670950,1790
3,2,3774,672000,1730
4,2,2450,875000,2600
1,1,5000,633000,1990
4,1,4100,685000,2670
3,2.75,7123,925000,2100
3,2.5,1570,629000,1500
4,1.75,9205,490000,2520
4,3.5,5000,1279000,3778
3,1.5,5400,900000,2410
3,2,5600,610000,2460
3,2.5,9400,425000,2240
3,1,4680,700000,2080
4,4.25,12975,2800000,6980
3,2.25,13040,527000,3040
3,3,5250,749000,2720
4,1.75,8820,404000,1660
5,2,6380,550000,2380
2,1.75,8715,1000000,2580
4,3,5100,1420000,720
3,1.75,5208,630000,2630
2,1,4635,425000,910
3,1,4500,605000,2210
4,1.75,8069,476000,2600
3,2,6600,755000,1890
3,3.5,5200,1100000,510
4,1,5000,490000,1820
3,1.75,3800,501000,2260
4,2.75,3840,860000,3400
2,1,7695,671700,1060
4,3.5,6550,426000,2520
3,3.25,1192,762500,1780
3,2.25,5040,759000,2160
2,1,5100,451000,2190
3,1.75,4480,845500,2280
3,1,6973,375000,1520
3,1,5796,565000,1970
2,1,5765,412012,1420
4,3.25,4046,1650000,3474
3,1,3570,592000,1540
3,1.75,5250,450000,1900
3,2,6782,628500,2250
3,2.5,6200,860000,3570
2,1,8184,279000,720
2,1,6490,515000,910
2,1,7156,370000,770
4,3,4000,1775000,3370
3,1,4520,525000,1840
4,3.5,3800,950000,3320
4,2.5,2800,974500,2350
2,1.75,6496,480000,2100
5,2.75,6840,707000,3350
4,3.5,14192,423500,1880
4,2,9000,615000,2730
2,1,4400,535000,1620
2,1,3120,569500,1720
4,3,7200,1775000,3770
4,3.5,4010,1001500,3440
5,3.75,5521,1250000,3470
3,1.5,4648,636207,2210
3,1.75,4080,975000,2370
4,2.75,7114,420000,2980
3,1,5100,666000,1270
4,3,3600,1375000,3080
2,1,5504,645000,1460
4,1.75,3840,1110000,2400
3,1,19988,210000,1060
2,1.75,4000,475000,1310
4,2.75,8100,614000,3020
4,1.5,7526,380500,1890
1,1,6000,267500,670
3,2.5,4335,569990,2502
2,1.5,6452,395000,1200
1,1,6380,413500,1220
3,2.5,1225,635000,1346
3,2,4590,512000,1060
3,1.75,10351,349950,2940
3,1.75,9945,450500,1640
3,1,9519,375000,1580
2,1,4240,753000,1890
3,1.75,5210,834043,1120
3,1.75,11088,339950,1320
4,3.25,5100,180000,3180
3,1.75,5000,563000,2040
3,2.75,6120,935000,1990
3,2.25,4320,1055000,2970
4,2,4080,837000,1810
3,2.5,1249,590000,1740
3,2.5,5100,920000,2610
3,2,3000,780000,1910
3,1.75,4909,950000,1930
3,2,5000,925000,2510
1,1,2550,445300,1430
3,2.75,3200,906000,2180
3,2.5,2760,755000,2250
2,1,8109,364000,780
3,1.75,6000,699950,3050
5,2.75,3750,840000,1550
4,1.75,3600,1098851,2500
4,1.75,6840,690000,2750
4,3.25,8950,1889792,7270
2,1,7000,696000,2210
5,3.5,14593,665000,3190
4,2,7540,444000,1470
3,1.5,6090,905000,3410
3,3.25,754,659850,1513
5,3.5,4635,1350000,1770
5,3,10450,697378,3020
3,1,8040,390000,1190
5,3,5000,925000,3060
3,2.5,29720,498500,2820
3,1.75,5076,418000,1430
3,1.75,3060,687001,2910
2,1.75,5000,489000,1660
2,1,3588,506000,1730
3,1.75,7339,447600,1270
4,2.75,5104,985000,2940
5,2.5,5136,910000,3200
3,2,5220,890000,1850
4,2.5,2643,475000,1950
3,2.25,6300,680000,2380
3,1.25,3695,525000,2250
3,1.75,5000,645000,1900
2,1,2800,550000,2120
4,2.25,8887,510000,1870
4,2.25,11761,599000,2410
3,3,2114,605000,1760
4,1.5,4000,1860000,2770
3,2,1827,691000,2640
3,2.5,5000,800000,3570
3,2.5,6000,260000,3670
2,1,9744,293000,990
3,1.75,6350,757000,2180
4,2,4000,725000,2610
5,2.25,5047,1187500,3280
6,2.75,7628,1010000,3000
5,3.25,22192,760000,3880
1,1,3060,520000,1180
4,2.5,8100,388000,2320
4,2.5,4056,699950,2751
3,1.5,3880,652000,2730
3,3,3422,629950,1720
3,2,4920,721088,2300
3,1,6380,707150,2310
4,2,11198,717000,2650
2,1,8160,407000,1640
4,1.75,9825,560000,1840
3,2.5,5250,921000,3200
5,3,12632,557500,2730
3,1.75,4000,827000,2070
4,2.25,7823,575000,2570
4,3.5,3755,1089000,3060
3,2.5,11070,836000,3870
4,2.5,3838,805000,2960
3,1.5,3680,591505,2400
5,4,9026,830000,7090
4,2.75,5000,635000,1960
4,3,8286,1700000,4660
5,2.5,9575,460000,2560
3,2.25,2402,553000,1790
5,2.75,14718,799950,1760
4,1.75,6233,530000,2110
3,1.75,4500,750000,1770
3,1.5,66129,700000,2630
5,3.75,5043,575000,2050
3,1.75,3060,552000,790
2,1.75,3500,725000,2750